code,name,forcing,et,scenario,channel,target,n,r,rho,reference_r,delta_r,change_n,change_r,reference_change_r,first30_r,last30_r,candidate_span_pp,reference_span_pp,observed_span_m3_m3,initial_dry_r,initial_wet_r,initial_dry_span_pp,initial_wet_span_pp
CMN,Camí dels Nerets,idw,hg,surface5,VWC_020,lower,60,-0.4662973915056614,-0.4663758156971987,-0.6872149102164073,0.22091751871074594,59,-0.002284393097972813,0.04846618276876955,-0.6778698804728742,-0.41107230493718383,5.286368140555407,23.247119019555548,0.003270833333333334,-0.4662973915056614,-0.4662973915056614,5.286368140555407,5.286368140555407
CMN,Camí dels Nerets,idw,hg,surface5,VWC_020,total,60,-0.5809377863455438,-0.6950480785448571,-0.6872149102164073,0.10627712387086352,59,0.12926107063898462,0.04846618276876955,-0.6442459014174282,-0.5424488154606364,17.146346293774776,23.247119019555548,0.003270833333333334,-0.5809377863455438,-0.5809377863455438,17.146346293774776,17.146346293774776
CMN,Camí dels Nerets,idw,hg,surface5,VWC_050,total,60,-0.02380490956648766,-0.09611950593558906,-0.03150292883491008,0.007698019268422417,59,0.056436030954258316,0.020655453910312517,0.15973648293292156,-0.13182473983775292,17.146346293774776,23.247119019555548,0.0029583333333333406,-0.02380490956648766,-0.02380490956648766,17.146346293774776,17.146346293774776
CMN,Camí dels Nerets,idw,hg,surface15,VWC_005,upper,60,-0.3659448470934155,-0.25196587856013214,-0.29620499703975184,-0.06973985005366368,59,-0.09867274008759112,-0.10815242608562912,-0.6103414620509999,-0.26981026515749845,41.11794485228499,23.247119019555548,0.009687499999999974,-0.3659448470934155,-0.3659448470934155,41.11794485228499,41.11794485228499
CMN,Camí dels Nerets,idw,hg,surface15,VWC_005,total,60,-0.36594528562233775,-0.25196587856013214,-0.29620499703975184,-0.06974028858258591,59,-0.09867267406508161,-0.10815242608562912,-0.6103412807528719,-0.269810264001199,20.558960606547387,23.247119019555548,0.009687499999999974,-0.36594528562233775,-0.36594528562233775,20.558960606547387,20.558960606547387
CMN,Camí dels Nerets,idw,hg,surface15,VWC_020,lower,60,0.40582894967735306,-0.055493803488488695,-0.6872149102164073,1.0930438598937604,59,0.11677842296571089,0.04846618276876955,0.8709674102998199,-0.4193120216809626,8.514326666806906e-05,23.247119019555548,0.003270833333333334,0.40582894967735306,0.40582894967735306,8.514326666806906e-05,8.514326666806906e-05
CMN,Camí dels Nerets,idw,hg,surface15,VWC_020,total,60,-0.6749339914373159,-0.7380648075384376,-0.6872149102164073,0.012280918779091432,59,0.07140126151819964,0.04846618276876955,-0.7599675283749697,-0.5959199294230634,20.558960606547387,23.247119019555548,0.003270833333333334,-0.6749339914373159,-0.6749339914373159,20.558960606547387,20.558960606547387
CMN,Camí dels Nerets,idw,hg,surface15,VWC_050,total,60,0.011321118535335243,-0.04782217931253065,-0.03150292883491008,0.042824047370245324,59,0.030433518573003693,0.020655453910312517,0.07378717675430213,-0.15255456740301648,20.558960606547387,23.247119019555548,0.0029583333333333406,0.011321118535335243,0.011321118535335243,20.558960606547387,20.558960606547387
CMN,Camí dels Nerets,idw,hg,bypass25,VWC_005,upper,60,-0.40013328040975304,-0.2781961155871243,-0.29620499703975184,-0.1039282833700012,59,-0.08426079091758806,-0.10815242608562912,-0.6358866343024135,-0.31685416003703565,42.35221480855757,23.247119019555548,0.009687499999999974,-0.40013328040975304,-0.40013328040975304,42.35221480855757,42.35221480855757
CMN,Camí dels Nerets,idw,hg,bypass25,VWC_005,total,60,-0.3205043957027419,-0.21609380652427745,-0.29620499703975184,-0.02429939866299008,59,-0.09086611345953259,-0.10815242608562912,-0.5762085636159957,-0.25073368086748615,21.166983621958046,23.247119019555548,0.009687499999999974,-0.3205043957027419,-0.3205043957027419,21.166983621958046,21.166983621958046
