code,name,model,target_mode,channel,n,r,rho,change_r,change_n,span_pp,first30_r,last30_r
LCDA,La Cultia d'Àreu,simple_hg_two,depth,VWC_005,60,0.7814368538260243,0.8268951910888636,0.1533150928624603,59,82.48126954921803,0.691352498840611,0.9380155297525001
LCDA,La Cultia d'Àreu,simple_pm_one,depth,VWC_005,60,0.6271086668266862,0.7898566792951777,0.08059498198782164,59,36.28291996320147,0.6581992573449524,0.7242590731684633
LCDA,La Cultia d'Àreu,simple_pm_two,depth,VWC_005,60,0.8116980904061717,0.8284341699795328,0.17729753683339325,59,85.01390602227818,0.7629762688962396,0.9227407743670475
LCDA,La Cultia d'Àreu,regulated_hg_one,depth,VWC_005,60,0.9189835181436032,0.9236454570714089,0.2148021389463566,59,60.10632220761905,0.9182965784867583,0.9738771822309116
LCDA,La Cultia d'Àreu,regulated_hg_two,depth,VWC_005,60,0.8485488553471916,0.8482911919977772,0.1610251472449429,59,85.43469384141727,0.7670838941192233,0.9815621612986114
LCDA,La Cultia d'Àreu,regulated_pm_one,depth,VWC_005,60,0.9416682986111913,0.9396499027507642,0.2328131440599291,59,64.66926927157276,0.9261252374730407,0.9836944499935492
LCDA,La Cultia d'Àreu,regulated_pm_two,depth,VWC_005,60,0.8591070683466417,0.8371769936093361,0.18567730357189774,59,84.18876487693474,0.7840220458708715,0.9818910397003333
LCDA,La Cultia d'Àreu,simple_hg_one,depth,VWC_020,60,0.5297482652904343,0.645858443081338,0.013086677688714209,59,29.08552345906164,0.47555320391049927,0.6844295158529162
LCDA,La Cultia d'Àreu,simple_hg_two,depth,VWC_020,60,0.261656797896326,0.4100790959159069,-0.059007204936853595,59,15.366520146728178,0.3519238737458855,
LCDA,La Cultia d'Àreu,simple_pm_one,depth,VWC_020,60,0.6103060508579718,0.7919700337323705,0.05752938060697738,59,36.28291996320147,0.6435207328950273,0.6779875374396189
LCDA,La Cultia d'Àreu,simple_pm_two,depth,VWC_020,60,0.46289983049986205,0.6085305778702655,0.020164803002066134,59,23.349594255515857,0.6490066658650704,0.29564716915132094
