scope,code,name,kind,profile,timing,model,n,mae_mm,bias_mm,observed_change_mm,predicted_change_mm,observed_per_day_mm,predicted_per_day_mm
all_valid,CDLP,Clot de Les Peres,daily,hold_20,end,regulated_hg_two,14,0.39900880257118765,0.16838768551060013,-0.8546723214285719,-0.6862846359179717,-0.8546723214285719,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,hold_20,end,regulated_pm_one,14,0.3899296965961589,0.08690058805278375,-0.8546723214285719,-0.7677717333757882,-0.8546723214285719,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,hold_20,end,regulated_pm_two,14,0.40633221071728115,0.1356689259708524,-0.8546723214285719,-0.7190033954577195,-0.8546723214285719,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,daily,hold_20,mean,regulated_hg_one,14,0.3519170972786794,0.2795880465061543,-1.0091875930059524,-0.7295995464997981,-1.0091875930059524,-0.7295995464997981
all_valid,CDLP,Clot de Les Peres,daily,hold_20,mean,regulated_hg_two,14,0.3857608933885251,0.3229029570879806,-1.0091875930059524,-0.6862846359179717,-1.0091875930059524,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,hold_20,mean,regulated_pm_one,14,0.3389283388888336,0.24141585963016424,-1.0091875930059524,-0.7677717333757882,-1.0091875930059524,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,hold_20,mean,regulated_pm_two,14,0.3898619687091298,0.2901841975482329,-1.0091875930059524,-0.7190033954577195,-1.0091875930059524,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,end,regulated_hg_one,14,0.38775091664585454,0.12496259635734479,-0.8545621428571428,-0.7295995464997981,-0.8545621428571428,-0.7295995464997981
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,end,regulated_hg_two,14,0.38313469542832906,0.1682775069391711,-0.8545621428571428,-0.6862846359179717,-0.8545621428571428,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,end,regulated_pm_one,14,0.37574026731643173,0.08679040948135472,-0.8545621428571428,-0.7677717333757882,-0.8545621428571428,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,end,regulated_pm_two,14,0.3854563243330923,0.13555874739942336,-0.8545621428571428,-0.7190033954577195,-0.8545621428571428,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,mean,regulated_hg_one,14,0.33382154296320293,0.28483374219067825,-1.0144332886904763,-0.7295995464997981,-1.0144332886904763,-0.7295995464997981
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,mean,regulated_hg_two,14,0.3627810513491205,0.32814865277250455,-1.0144332886904763,-0.6862846359179717,-1.0144332886904763,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,mean,regulated_pm_one,14,0.3100158574470841,0.2466615553146882,-1.0144332886904763,-0.7677717333757882,-1.0144332886904763,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,blocks_10_20,mean,regulated_pm_two,14,0.3541075155841305,0.2954298932327568,-1.0144332886904763,-0.7190033954577195,-1.0144332886904763,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,end,regulated_hg_one,1,0.4676826511073333,-0.4676826511073333,4.57362333333333,4.105940682225997,0.9147246666666661,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,end,regulated_hg_two,1,0.4481486618126205,-0.4481486618126205,4.57362333333333,4.12547467152071,0.9147246666666661,0.8250949343041419
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,end,regulated_pm_one,1,0.22976130824173246,-0.22976130824173246,4.57362333333333,4.343862025091598,0.9147246666666661,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,end,regulated_pm_two,1,0.226949303237312,-0.226949303237312,4.57362333333333,4.346674030096018,0.9147246666666661,0.8693348060192037
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,mean,regulated_hg_one,1,0.08318039416289658,-0.08318039416289658,4.1891210763888935,4.105940682225997,0.8378242152777787,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,mean,regulated_hg_two,1,0.06364640486818374,-0.06364640486818374,4.1891210763888935,4.12547467152071,0.8378242152777787,0.8250949343041419
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,mean,regulated_pm_one,1,0.15474094870270427,0.15474094870270427,4.1891210763888935,4.343862025091598,0.8378242152777787,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,linear_5_20_50,mean,regulated_pm_two,1,0.15755295370712474,0.15755295370712474,4.1891210763888935,4.346674030096018,0.8378242152777787,0.8693348060192037
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,end,regulated_hg_one,1,0.7888843177740075,-0.7888843177740075,4.894825000000004,4.105940682225997,0.9789650000000009,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,end,regulated_hg_two,1,0.7693503284792946,-0.7693503284792946,4.894825000000004,4.12547467152071,0.9789650000000009,0.8250949343041419
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,end,regulated_pm_one,1,0.5509629749084066,-0.5509629749084066,4.894825000000004,4.343862025091598,0.9789650000000009,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,end,regulated_pm_two,1,0.5481509699039862,-0.5481509699039862,4.894825000000004,4.346674030096018,0.9789650000000009,0.8693348060192037
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,mean,regulated_hg_one,1,0.4091212969406701,-0.4091212969406701,4.515061979166667,4.105940682225997,0.9030123958333334,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,mean,regulated_hg_two,1,0.3895873076459573,-0.3895873076459573,4.515061979166667,4.12547467152071,0.9030123958333334,0.8250949343041419
